Entry,Name,Name(TN),Disease,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8
"D00718
","Flavoxate hydrochloride (JP18/USP)
  ","Urispas (TN)
  ","
",Antipollakisuria,Phosphodiesterase inhibitor,,,,,,
"D00719
","Hyoscyamine sulfate (USP)
Hyoscyamine sulfate dihydrate
  ","Egacene (TN)
  ","Peptic ulcer [DS:H01634]
Irritable bowel syndrome [DS:H01615]
  ",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00720
","Mepenzolate bromide (JP18/INN)
  ","Cantil (TN)
  ","
",Antispasmodic,Anti-ulcerative,Muscarinic acetylcholine receptor antagonist,,,,,
"D00721
","Methanthelinium bromide (INN)
Methantheline bromide
  ","Banthine (TN)
  ","
",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00722
","Oxybutynin chloride (USP)
Oxybutynin hydrochloride (JP18)
  ","Ditropan (TN)
Gelnique (TN)
  ","
",Antipollakisuria,Overactive bladder agent,Muscarinic acetylcholine receptor antagonist,,,,,
"D00723
","Tridihexethyl chloride (BAN)
  ","Pathilon (TN)
  ","
",Antispasmodic,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00724
","Rabeprazole sodium (JP18/USP)
  ","Aciphex (TN)
Pariet (TN)
  ","Erosive or ulcerative GERD [DS:H01602]
Duodenal ulcer [DS:H01634]
Helicobacter pylori eradication [DS:H00320]
Zollinger-Ellison syndrome [DS:H01522]
  ",Antisecretory (gastric acid),Anti-ulcerative,Proton pump inhibitor,,,,,
"D00725
","Dolasetron mesylate (USP)
  ","Anzemet (TN)
  ","
",Anti-emetic,Antimigraine,Serotonin 5-HT3 receptor antagonist,,,,,
"D00726
","Metoclopramide (JP18/INN)
  ","Elieten (TN)
Terperan (TN)
  ","
",Anti-emetic,Prokinetic,Dopamine D2 receptor antagonist,,,,,
"D00727
","Olsalazine sodium (USAN)
  ","Dipentum (TN)
  ","Ulcerative colitis [DS:H01466]
  ",Anti-inflammatory (gastrointestinal),,,,,,,
"D00728
","Bismuth subsalicylate (JAN/USP)
  ","Pepto-bismol (TN)
  ","
",Antacid,Antidiarrheal,Anti-ulcerative,,,,,
"D00729
","Loperamide hydrochloride (JAN/USP)
  ","Imodium (TN)
  ","
",Antidiarrheal,Antiperistaltic,Opioid receptor agonist,,,,,
"D00730
","Butamben (USP)
4-Aminobenzoic acid butyl
  ","Butesin (TN)
  ","
",Anesthetic (topical),Potassium channel blocker,,,,,,
"D00731
","Magnesium hydroxide (JAN/USP)
Magnesia, (Milk of) (USP)
  ","Milmag (TN)
Mint-o-mag (TN)
  ","
",Antacid,Laxative,,,,,,
"D00732
","Chloroprocaine hydrochloride (USP)
  ","Clorotekal (TN)
Iheezo (TN)
Nesacaine (TN)
  ","
",Anesthetic (local),,,,,,,
"D00733
","Dibucaine (USP)
Cinchocaine (INN)
  ","Nupercaine (TN)
  ","
",Anesthetic (local),,,,,,,
"D00734
","Ursodiol (USP)
Ursodeoxycholic acid (JP18/INN)
  ","Actigall (TN)
Urso (TN)
  ","Primary biliary cirrhosis [DS:H01467]
  ",Anticholelithogenic,Choleretic,,,,,,
"D00735
","Dyclonine hydrochloride (USP)
  ","Dyclone (TN)
Dyclopro (TN)
  ","
",Anesthetic (topical),,,,,,,
"D00736
","Trientine hydrochloride (JP18/USP)
Trientine dihydrochloride
  ","Syprine (TN)
  ","Wilson's disease [DS:H00210]
  ",Chelating agent,,,,,,,
"D00737
","Etidocaine hydrochloride
  ","Duranest (TN)
  ","
",Anesthetic (local),,,,,,,
"D00738
","Mepivacaine hydrochloride (JP18/USP)
  ","Carbocaine (TN)
Polocaine (TN)
Scandonest plain (TN)
  ","
",Anesthetic (local),,,,,,,
"D00739
","Pramoxine hydrochloride (USP)
Pramocaine hydrochloride
  ","Tronothane (TN)
  ","
",Analgesic (topical),Anesthetic (topical),,,,,,
"D00740
","Procaine hydrochloride (JP18/USP)
  ","Novocain (TN)
  ","
",Anesthetic (local),,,,,,,
"D00741
","Tetracaine hydrochloride (JP18/USP)
  ","Protocaine hydrochloride (TN)
  ","
",Anesthetic (local),,,,,,,
"D00742
","Etanercept (USAN/INN)
Etanercept (genetical recombination) (JAN)
Etanercept (genetical recombination) [Etanercept biosimilar 1] (JAN)
Etanercept (genetical recombination) [Etanercept biosimilar 2] (JAN)
  ","Enbrel (TN)
  ","Rheumatoid arthritis [DS:H00630]
Polyarticular juvenile idiopathic arthritis [DS:H01672]
Psoriatic arthritis [DS:H01507]
Ankylosing spondylitis [DS:H01674]
Plaque psoriasis [DS:H01656]
  ",Antirheumatic,TNF receptor antagonist,,,,,,
"D00743
","Naphazoline hydrochloride (JP18/USP)
  ","Albalon (TN)
Vasocon (TN)
  ","
",Vasoconstrictor,alpha1-Adrenergic receptor agonist,,,,,,
"D00744
","Pemoline (JAN/USAN/INN)
  ","Cylert (TN)
  ","
",Antidepressant,Sedative-hypnotic,Stimulant (central),,,,,
"D00745
","Interferon alfa-2a (USAN/INN)
Interferon alfa-2a (genetical recombination) (JAN)
  ","Roferon A (TN)
  ","
",Antineoplastic,Biological response modifier,,,,,,
"D00746
","Interferon beta-1b (USAN/INN)
Interferon beta-1b (genetical recombination) (JAN)
  ","Betaseron (TN)
Extavia (TN)
  ","Multiple sclerosis [DS:H01490]
  ",Immunomodulator,Biological response modifier,,,,,,
"D00747
","Interferon gamma-1b (USAN/INN)
  ","Actimmune (TN)
  ","Chronic granulomatous disease [DS:H00098]
Malignant osteopetrosis [DS:H00436]
  ",Antineoplastic,Immunomodulator,Biological response modifier,,,,,
"D00748
","Aldesleukin (USAN/INN)
Interleukin-2
  ","Proleukin (TN)
  ","Renal cell carcinoma [DS:H00021]
Melanoma [DS:H00038]
  ",Antineoplastic,Immunostimulant,Biological response modifier,,,,,
"D00749
","Leflunomide (JAN/USP/INN)
  ","Arava (TN)
  ","Active rheumatoid arthritis [DS:H00630]
  ",Antirheumatic,Dihydroorotate dehydrogenase inhibitor,,,,,,
"D00750
","Levamisole hydrochloride (USP)
  ","Ergamisol (TN)
  ","
",Anthelmintic,,,,,,,
"D00751
","Methylprednisolone sodium succinate (JAN/USP)
  ","A-methapred (TN)
Solu-medrol (TN)
  ","Asthma [DS:H00079]
Atopic dermatitis [DS:H01358]
Contact dermatitis [DS:H01357]
Allergic rhinitis [DS:H01360]
Dermatitis herpetiformis [DS:H01362]
Mycosis fungoides [DS:H01463]
Pemphigus [DS:H01648]
Erythema multiforme [DS:H01695]
Stevens-Johnson syndrome [DS:H01694]
Congenital adrenal hyperplasia [DS:H00216]
Ulcerative colitis [DS:H01466]
Acquired (autoimmune) hemolytic anemia [DS:H01585]
Congenital (erythroid) hypoplastic anemia; Diamond-Blackfan anemia [DS:H00237]
Idiopathic thrombocytopenic purpura [DS:H01240]
Pure red cell aplasia [DS:H01586]
Multiple sclerosis [DS:H01490]
Ankylosing spondylitis [DS:H01674]
Psoriatic arthritis [DS:H01507]
Rheumatoid arthritis [DS:H00630]
Juvenile idiopathic arthritis [DS:H01672]
Dermatomyositis [DS:H01604]
Temporal arteritis [DS:H01698]
Polymyositis [DS:H01604]
Systemic lupus erythematosus [DS:H00080]
  ",Anti-inflammatory,Immunosuppressant,Glucocorticoid receptor agonist,,,,,
"D00752
","Mycophenolate mofetil (JAN/USP)
  ","Cellcept (TN)
  ","Prophylaxis of organ rejection [DS:H00083]
  ",Immunosuppressant,Inosine monophosphate dehydrogenase inhibitor,,,,,,
"D00753
","Sirolimus (JAN/USAN/INN)
  ","Rapamune (TN)
Rapamycin (TN)
  ","Organ rejection in renal transplantation [DS:H00083]
Lymphangioleiomyomatosis [DS:H00896]
  ",Antineoplastic,Immunosuppressant,mTOR inhibitor,,,,,
"D00754
","Thalidomide (JAN/USP/INN)
  ","Thalomid (TN)
Thaled (TN)
  ","Multiple myeloma [DS:H00010]
Erythema nodosum leprosum [DS:H01473]
  ",Antibiotic,Antineoplastic,,,,,,
"D00755
","Phenyramidol hydrochloride (USAN)
Fenyramidol hydrochloride
  ","
","
",Analgesic,Skeletal muscle relaxant,,,,,,
"D00756
","Tetrahydrozoline nitrate (JAN)
  ","Narbel (TN)
  ","
",Vasoconstrictor,alpha1-Adrenergic receptor agonist,,,,,,
"D00757
","Xylometazoline hydrochloride (USP)
  ","Neo-Synephrine II (TN)
  ","
",Vasoconstrictor,alpha-Adrenergic receptor agonist,,,,,,
"D00758
","Atracurium besylate (USP)
Atracurium besilate (INN)
  ","Tracrium (TN)
  ","
",Neuromuscular blocking agent,,,,,,,
"D00759
","Cisatracurium besylate (USP)
Cisatracurium besilate (INN)
  ","Nimbex (TN)
  ","
",Anesthetic (adjunct),Neuromuscular blocking agent,,,,,,
"D00760
","Doxacurium chloride (USAN/INN)
  ","Nuromax (TN)
  ","
",Neuromuscular blocking agent,,,,,,,
"D00761
","Metocurine iodide (USAN)
  ","Metubine iodide (TN)
  ","
",Skeletal muscle relaxant,Neuromuscular blocking agent,,,,,,
"D00762
","Metyrosine (USP)
Metirosine (JAN/INN)
  ","Demser (TN)
  ","Pheochromocytoma
  ",Antihypertensive,Tyrosine monooxygenase inhibitor,,,,,,
"D00763
","Mivacurium chloride (USAN/INN)
  ","Mivacron (TN)
  ","
",Neuromuscular blocking agent,,,,,,,
"D00764
","Pipecuronium bromide (JAN/USAN/INN)
  ","Arduan (TN)
  ","
",Neuromuscular blocking agent,,,,,,,
"D00765
","Rocuronium bromide (JAN/USP/INN)
  ","Zemuron (TN)
  ","
",Skeletal muscle relaxant,Neuromuscular blocking agent,Muscarinic acetylcholine receptor antagonist,,,,,
"D00766
","Succinylcholine chloride (USP)
Suxamethonium chloride (INN)
  ","Anectine (TN)
Quelicin (TN)
  ","
",Muscle relaxant,,,,,,,
"D00767
","Vecuronium bromide (JAN/USP/INN)
  ","Norcuron (TN)
  ","
",Skeletal muscle relaxant,Neuromuscular blocking agent,Muscarinic acetylcholine receptor antagonist,,,,,
"D00768
","Carisoprodol (JAN/USP/INN)
  ","Soma (TN)
  ","
",Skeletal muscle relaxant,,,,,,,
"D00769
","Clopidogrel bisulfate (USP)
Clopidogrel sulfate (JP18)
Clopidogrel sulfate tablets (JP18)
Clopidogrel hydrogen sulphate
  ","Isocover (TN)
Plavix (TN)
  ","Myocardial infarction [DS:H01730]
  ",Anticoagulant,Platelet aggregation inhibitor,Purinergic receptor P2Y12 antagonist,,,,,
"D00770
","Chlorphenesin carbamate (JP18/USAN)
  ","Maolate (TN)
  ","
",Skeletal muscle relaxant,,,,,,,
"D00771
","Chlorzoxazone (JAN/USP/INN)
  ","Paraflex (TN)
  ","
",Skeletal muscle relaxant,,,,,,,
"D00772
","Cyclobenzaprine hydrochloride (USP)
  ","Flexeril (TN)
  ","
",Muscle relaxant,,,,,,,
"D00773
","Metaxalone (USP/INN)
  ","Skelaxin (TN)
  ","
",Skeletal muscle relaxant,,,,,,,
"D00774
","Orphenadrine citrate (USP)
  ","Norflex (TN)
  ","
",Skeletal muscle relaxant,,,,,,,
"D00775
","Riluzole (JAN/USP/INN)
  ","Rilutek (TN)
  ","Amyotrophic lateral sclerosis [DS:H00058]
  ",Nerve cells protectant,,,,,,,
"D00776
","Tizanidine hydrochloride (JP18/USP)
  ","Zanaflex (TN)
  ","
",Antispasmodic,Muscle relaxant,alpha2-Adrenergic receptor agonist,,,,,
"D00777
","Amantadine hydrochloride (JP18/USP)
  ","Symmetrel (TN)
Gocovri (TN)
Osmolex er (TN)
  ","Influenza A infection [DS:H00398]
Parkinson disease/syndrome [DS:H00057 H01600]
  ",Antiviral,M2 protein inhibitor,Antiparkinsonian,Dopamine secretagogue,,,,
"D00778
","Benztropine mesylate (USP)
Benztropine mesilate (JAN)
  ","Cogentin (TN)
  ","Parkinsonism [DS:H01600]
  ",Antiparkinsonian,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00779
","Biperiden (JAN/USP/INN)
  ","Akineton (TN)
  ","
",Antiparkinsonian,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00780
","Bromocriptine mesylate (USP)
Bromocriptine mesilate (JP18)
  ","Parlodel (TN)
  ","Hyperprolactinemia [DS:H01388]
Acromegaly [DS:H01483]
Parkinson disease [DS:H00057]
  ",Antiparkinsonian,Dopamine D2 receptor agonist,Prolactin inhibitor,,,,,
"D00781
","Entacapone (JP18/USP/INN)
  ","Comtan (TN)
  ","Parkinson disease [DS:H00057]
  ",Antiparkinsonian,Antidyskinetic,COMT inhibitor,,,,,
"D00782
","Procyclidine hydrochloride (USP)
  ","Kemadrin (TN)
  ","
",Antiparkinsonian,Skeletal muscle relaxant,Muscarinic acetylcholine receptor antagonist,,,,,
"D00783
","Botulinum toxin type A (JAN)
  ","Botox (TN)
Dysport (TN)
  ","Cervical dystonia [DS:H01608]
  ",Skeletal muscle relaxant,Neuromuscular blocking agent,,,,,,
"D00784
","Ropinirole hydrochloride (JAN/USP)
  ","Requip (TN)
  ","Parkinson disease [DS:H00057]
Restless legs syndrome [DS:H01597]
  ",Antiparkinsonian,Dopamine receptor agonist,,,,,,
"D00785
","Selegiline hydrochloride (JAN/USP)
  ","Eldepryl (TN)
  ","Parkinson disease [DS:H00057]
  ",Antiparkinsonian,Antidyskinetic,Monoamine oxidase B (MAO-B) inhibitor,,,,,
"D00786
","Tolcapone (JAN/USP/INN)
  ","Tasmar (TN)
  ","Idiopathic Parkinson disease [DS:H01600]
Parkinson disease [DS:H00057]
  ",Antiparkinsonian,COMT inhibitor,,,,,,
"D00787
","Trihexyphenidyl hydrochloride (JP18/USP)
  ","Artane (TN)
  ","Parkinsonism [DS:H01600]
  ",Antiparkinsonian,Muscarinic acetylcholine receptor antagonist,,,,,,
"D00788
","Acetophenazine maleate (USAN)
  ","Tindal (TN)
  ","
",Antipsychotic,,,,,,,
"D00789
","Chlorpromazine hydrochloride (JP18/USP)
  ","Sonazine (TN)
  ","Schizophrenia [DS:H01649]
Acute intermittent porphyria [DS:H00202 H01763]
Tetanus [DS:H00337]
Manic-depressive illness [DS:H01653]
  ",Anti-emetic,Antipsychotic,,,,,,
"D00790
","Chlorprothixene (JAN/USAN/INN)
  ","Taractan (TN)
  ","
",Antipsychotic,Dopamine receptor antagonist,,,,,,
"D00791
","Fluphenazine hydrochloride (JAN/USP)
  ","Prolixin (TN)
  ","
",Antipsychotic,Dopamine D2 receptor antagonist,,,,,,
"D00792
","Fluphenazine enanthate (JP18/USP)
  ","Prolixin enanthate (TN)
  ","
",Antipsychotic,Dopamine D2 receptor antagonist,,,,,,
"D00793
","Fluphenazine decanoate (JAN/USP)
  ","Prolixin decanoate (TN)
  ","Schizophrenics [DS:H01649]
  ",Antipsychotic,Dopamine D2 receptor antagonist,,,,,,
"D00794
","Loxapine succinate (USP)
  ","Loxitane (TN)
  ","Schizophrenia [DS:H01649]
  ",Minor tranquilizer,Dopamine D2 receptor antagonist,Serotonin receptor antagonist,,,,,
"D00795
","Mesoridazine besylate (USP)
  ","Serentil (TN)
  ","
",Antipsychotic,,,,,,,
"D00796
","Molindone hydrochloride (USP)
  ","Moban (TN)
  ","Schizophrenia [DS:H01649]
  ",Antipsychotic,Dopamine D2 receptor antagonist,,,,,,
"D00797
","Promazine hydrochloride (USP)
  ","Sparine (TN)
  ","
",Antipsychotic,Dopamine D2 receptor antagonist,,,,,,
"D00798
","Thioridazine hydrochloride (JP18/USP)
  ","Mellaril (TN)
  ","Schizophrenia [DS:H01649]
  ",Antipsychotic,Sedative-hypnotic,Dopamine D2 receptor antagonist,,,,,
"D00799
","Trifluoperazine hydrochloride (JAN/USP)
  ","Stelazine (TN)
  ","Schizophrenia [DS:H01649]
  ",Antipsychotic,Sedative-hypnotic,Dopamine D2 receptor antagonist,,,,,
"D00800
","Triflupromazine hydrochloride (JAN/USP)
  ","Vesprin (TN)
  ","
",Antipsychotic,Dopamine D2 receptor antagonist,,,,,,
"D00801
","Lithium carbonate (JP18/USP)
  ","Eskalith (TN)
Lithobid (TN)
  ","Bipolar disorder, manic episodes [DS:H01653]
  ",Antimanic,,,,,,,
"D00802
","Bithionol (JAN/INN)
  ","Bithin (TN)
  ","
",Anthelmintic,,,,,,,
"D00803
","Diethylcarbamazine citrate (JP18/USP)
  ","Hetrazan (TN)
  ","
",Anthelmintic,,,,,,,
"D00804
","Ivermectin (JAN/USP/INN)
  ","Sklice (TN)
Soolantra (TN)
Stromectol (TN)
  ","Head lice infestation [DS:H01054]
Strongyloidiasis of the intestinal tract [DS:H01100]
Onchocerciasis [DS:H01043]
  ",Antiparasitic,,,,,,,
"D00805
","Metrifonate (USP/INN)
Trichlorfon (USAN)
  ","
","
",Anthelmintic (veterinary),Acetylcholinesterase inhibitor,,,,,,
"D00806
","Oxantel pamoate (USAN)
  ","Telopar (TN)
  ","
",Anthelmintic,,,,,,,
"D00807
","Piperazine (USP)
  ","Vermizine (TN)
  ","
",Anthelmintic,,,,,,,
"D00808
","Suramin hexasodium (USAN)
  ","Bayer 205 (TN)
  ","
",Antineoplastic,Antiprotozoal,,,,,,
"D00809
","Amitriptyline hydrochloride (JP18/USP)
  ","Elavil (TN)
  ","Depression [DS:H01646]
  ",Antidepressant,,,,,,,
"D00810
","Choline salicylate (JAN/USAN/INN)
  ","Arthropan (TN)
  ","
",Analgesic,Anti-inflammatory,COX inhibitor,,,,,
"D00811
","Clomipramine hydrochloride (JP18/USP)
  ","Anafranil (TN)
  ","Obsessive-compulsive disorder [DS:H01450]
  ",Antidepressant,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,,
"D00812
","Desipramine hydrochloride (JAN/USP)
  ","Norpramin (TN)
  ","Depression [DS:H01646]
  ",Antidepressant,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,,
"D00813
","Ketorolac tromethamine (USP)
  ","Acular (TN)
Toradol (TN)
  ","
",Analgesic,Anti-inflammatory,COX inhibitor,,,,,
"D00814
","Doxepin hydrochloride (USP)
  ","Sinequan (TN)
Zonalon (TN)
  ","Atopic dermatitis [DS:H01358]
Insomnia [DS:H01609]
  ",Antidepressant,H1 receptor antagonist,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,
"D00815
","Imipramine hydrochloride (JP18/USP)
  ","Tofranil (TN)
  ","Depression [DS:H01646]
  ",Antidepressant,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,,
"D00816
","Nortriptyline hydrochloride (JP18/USP/INN)
  ","Pamelor (TN)
  ","Depression [DS:H01646]
  ",Antidepressant,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,,
"D00817
","Bupropion hydrochloride (JAN/USP)
  ","Wellbutrin (TN)
Zyban (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,Noradrenalin and dopamine reuptake inhibitor,,,,,,
"D00818
","Maprotiline hydrochloride (JP18/USP)
  ","Ludiomil (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,Selective noradrenaline reuptake inhibitor (NRI),,,,,,
"D00819
","Nefazodone hydrochloride (USP)
  ","Serzone (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,,,,,,,
"D00820
","Trazodone hydrochloride (JAN/USP)
  ","Desyrel (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,Serotonin antagonist and reuptake inhibitor (SARI),,,,,,
"D00821
","Venlafaxine hydrochloride (JAN/USP)
  ","Effexor (TN)
  ","Major depressive disorder [DS:H01646]
Generalized anxiety disorder [DS:H01662]
Social anxiety disorder [DS:H01670]
Panic disorder [DS:H01664]
  ",Antidepressant,Serotonin-noradrenaline reuptake inhibitor (SNRI),,,,,,
"D00822
","Citalopram hydrobromide (USP)
  ","Celexa (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,Selective serotonin reuptake inhibitor (SSRI),,,,,,
"D00823
","Fluoxetine hydrochloride (JAN/USP)
  ","Prozac (TN)
Sarafem (TN)
  ","Major depressive disorder [DS:H01646]
Obsessive compulsive disorder [DS:H01450]
Bulimia nervosa [DS:H01703]
Panic disorder [DS:H01664]
Bipolar I disorder [DS:H01653]
  ",Antidepressant,Selective serotonin reuptake inhibitor (SSRI),,,,,,
"D00824
","Fluvoxamine maleate (JP18/USP)
  ","Luvox (TN)
  ","Obsessive compulsive disorder [DS:H01450]
  ",Antidepressant,Selective serotonin reuptake inhibitor (SSRI),,,,,,
"D00825
","Sertraline hydrochloride (JAN/USP)
  ","Zoloft (TN)
  ","Major depressive disorder [DS:H01646]
Obsessive-compulsive disorder [DS:H01450]
Panic disorder [DS:H01664]
Social anxiety disorder [DS:H01670]
  ",Antidepressant,Selective serotonin reuptake inhibitor (SSRI),,,,,,
"D00826
","Tranylcypromine sulfate (USP)
  ","Parnate (TN)
  ","Major depressive disorder [DS:H01646]
  ",Antidepressant,Monoamine oxidase (MAO) inhibitor,,,,,,
"D00827
","Magnesium salicylate (USP)
Magnesium salicylate tetrahydrate
  ","Magan (TN)
  ","
",Analgesic,Antipyretic,Antirheumatic,COX inhibitor,,,,
"D00828
","Dehydroemetine (INN)
  ","Mebadin (TN)
  ","
",Amebicide,,,,,,,
"D00829
","Eflornithine hydrochloride (USAN)
  ","Vaniqa (TN)
  ","
",Antineoplastic,Antiprotozoal,Ornithine decarboxylase inhibitor,,,,,
"D00830
","Furazolidone (USP/INN)
  ","Furoxone (TN)
  ","
",Antibacterial,Antiprotozoal,,,,,,
"D00831
","Mefloquine hydrochloride (JP18/USP)
  ","Lariam (TN)
  ","Malaria [DS:H00361]
  ",Antimalarial,,,,,,,
"D00832
","Melarsoprol (INN)
  ","Mel B (TN)
","
",Antiprotozoal,,,,,,,
"D00833
","Nifurtimox (USAN/INN)
  ","Lampit (TN)
  ","Chagas disease [DS:H00358]
  ",Antiprotozoal,,,,,,,
"D00834
","Pentamidine isethionate (USP)
Pentamidine isetionate (JAN)
  ","Pentam 300 (TN)
  ","Pneumocystis jiroveci pneumonia [DS:H01521]
Pneumonia due to Pneumocystis carinii [DS:H01521]
  ",Antifungal,Antiprotozoal,,,,,,
"D00835
","Alfentanil hydrochloride (USP)
  ","Alfenta (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00836
","Buprenorphine hydrochloride (JP18/USP)
  ","Buprenex (TN)
  ","
",Analgesic,Opioid receptor agonist/antagonist,,,,,,
"D00837
","Butorphanol tartrate (JAN/USP)
  ","Stadol (TN)
  ","
",Analgesic,Antitussive,Opioid receptor agonist/antagonist,,,,,
"D00838
","Dezocine (USAN)
  ","Dalgan (TN)
  ","
",Analgesic,Opioid receptor agonist/antagonist,,,,,,
"D00839
","Hydromorphone hydrochloride (JAN/USP)
  ","Dilaudid (TN)
Exalgo (TN)
Palladone (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00840
","Levomethadyl acetate hydrochloride (USAN)
  ","Orlaam (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00841
","Levorphanol tartrate (USP)
Levorphanol tartrate dihydrate
  ","Levo-dromoran (TN)
  ","
",Analgesic (narcotic),,,,,,,
"D00842
","Morphine sulfate (USP)
Morphine sulfate hydrate (JP18)
Morphine sulfate pentahydrate
  ","Astramor PH (TN)
Avinza (TN)
Depodur (TN)
Kadian (TN)
MS contin (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00843
","Nalbuphine hydrochloride (USAN)
  ","Nubain (TN)
  ","
",Analgesic,Narcotic antagonist,Opioid receptor agonist/antagonist,,,,,
"D00844
","Oxymorphone hydrochloride (USP)
  ","Numorphan (TN)
Opana (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00845
","Sufentanil citrate (USP)
  ","Dsuvia (TN)
Sufenta (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00846
","Hydrocodone bitartrate and acetaminophen
Hydrocodone bitartrate and paracetamol
  ","Vicodin (TN)
  ","
",Analgesic,,,,,,,
"D00847
","Oxycodone hydrochloride (USP)
  ","Oxecta (TN)
Oxycontin (TN)
Roxicodone (TN)
  ","
",Analgesic (narcotic),Opioid receptor agonist,,,,,,
"D00848
","Dextromethorphan hydrobromide (USP)
Dextromethorphan hydrobromide hydrate (JP18)
  ","Benylin DM (TN)
  ","
",Antitussive,,,,,,,
"D00849
","Methacycline hydrochloride (JAN/USP)
  ","Rondomycin (TN)
  ","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00850
","Minocycline hydrochloride (JP18/USP)
  ","Arestin (TN)
Dynacin (TN)
Minocin (TN)
Solodyn (TN)
  ","Rocky Mountain spotted fever [DS:H00323]
Typhus fever [DS:H00322]
Q fever [DS:H00310]
Lymphogranuloma venereum [DS:H00348]
Psittacosis [DS:H00350]
Trachoma [DS:H00349]
Relapsing fever [DS:H00427]
Chancroid [DS:H00305]
Plague [DS:H00297]
Tularemia [DS:H00312]
Cholera [DS:H00110]
Campylobacter fetus infections [DS:H00321]
Brucellosis [DS:H00325]
Bartonellosis [DS:H00326]
Granuloma inguinale [DS:H01415]
Syphilis [DS:H00354]
Yaws [DS:H01318]
Listeriosis [DS:H00332]
Anthrax [DS:H00328]
Vincent's infection [DS:H01440]
Actinomycosis [DS:H01325]
Acute intestinal amebiasis [DS:H00360]
Acne vulgaris [DS:H01445]
  ",Antibacterial,Protein biosynthesis inhibitor,,,,,,
"D00851
","Erythromycin estolate (USP)
Erythromycin estorate (JAN)
  ","Ilosone (TN)
  ","
",Antibacterial,Protein biosynthesis inhibitor,,,,,,
